"date","mob.bus","mob.full","mob.bus0"
2021-02-16,0.6475,0.723333333333333,0.58
2021-02-17,0.685,0.74,0.603333333333333
2021-02-18,0.49,0.598333333333333,0.44
2021-02-19,0.5725,0.661666666666667,0.516666666666667
2021-02-20,0.7125,0.756666666666667,0.666666666666667
2021-02-21,0.705,0.763333333333333,0.67
2021-02-22,0.605,0.673333333333333,0.556666666666667
2021-02-23,0.6825,0.736666666666667,0.613333333333333
2021-02-24,0.71,0.785,0.633333333333333
2021-02-25,0.695,0.766666666666667,0.623333333333333
2021-02-26,0.69,0.763333333333333,0.623333333333333
2021-02-27,0.7075,0.758333333333333,0.666666666666667
2021-02-28,0.6825,0.738333333333333,0.653333333333333
2021-03-01,0.67,0.736666666666667,0.606666666666667
2021-03-02,0.67,0.73,0.606666666666667
2021-03-03,0.7125,0.796666666666667,0.64
2021-03-04,0.6925,0.756666666666667,0.616666666666667
2021-03-05,0.6825,0.746666666666667,0.61
2021-03-06,0.735,0.781666666666667,0.69
2021-03-07,0.73,0.801666666666667,0.693333333333333
2021-03-08,0.6825,0.756666666666667,0.62
2021-03-09,0.7275,0.836666666666667,0.656666666666667
2021-03-10,0.71,0.798333333333333,0.64
2021-03-11,0.73,0.851666666666667,0.653333333333333
2021-03-12,0.715,0.816666666666667,0.646666666666667
2021-03-13,0.765,0.836666666666667,0.723333333333333
2021-03-14,0.7325,0.82,0.703333333333333
2021-03-15,0.67,0.741666666666667,0.613333333333333
2021-03-16,0.69,0.753333333333333,0.623333333333333
2021-03-17,0.7175,0.786666666666667,0.646666666666667
2021-03-18,0.655,0.711666666666667,0.596666666666667
2021-03-19,0.7075,0.768333333333333,0.64
2021-03-20,0.795,0.886666666666667,0.753333333333333
2021-03-21,0.7925,0.93,0.76
2021-03-22,0.725,0.828333333333333,0.663333333333333
2021-03-23,0.7325,0.835,0.666666666666667
2021-03-24,0.67,0.736666666666667,0.616666666666667
2021-03-25,0.7425,0.835,0.663333333333333
2021-03-26,0.7275,0.831666666666667,0.663333333333333
2021-03-27,0.7925,0.92,0.756666666666667
2021-03-28,0.6625,0.725,0.643333333333333
2021-03-29,0.695,0.786666666666667,0.63
2021-03-30,0.7325,0.853333333333333,0.66
2021-03-31,0.695,0.771666666666667,0.63
2021-04-01,0.7125,0.786666666666667,0.626666666666667
2021-04-02,0.67,0.751666666666667,0.586666666666667
2021-04-03,0.785,0.878333333333333,0.736666666666667
2021-04-04,0.6975,0.863333333333333,0.653333333333333
2021-04-05,0.7225,0.84,0.656666666666667
2021-04-06,0.7525,0.868333333333333,0.68
